"community_id","community_size","average_distance"
"26196","1824","0.7800493502960243"
"12219","1714","0.8789235009116654"
"36266","1473","0.8219707807177213"
"35915","1277","0.8407206381151519"
"17118","1249","0.8576451354970615"
"34882","1233","0.9003441471676998"
"14631","916","0.9114146445589156"
"12832","824","0.8246242665446536"
"26579","756","0.8701643096096785"
"26155","732","0.8819845202768414"
"7826","700","0.9295329213882679"
"34454","685","0.8841048914963492"
"25110","676","0.8836363399594057"
"31385","559","0.874906816714503"
"9179","557","0.8993750973141587"
"26606","541","0.8004710137428882"
"10462","530","0.8793056779193216"
"7424","503","0.8866729698412112"
"30322","456","0.8521491472796137"
"20020","452","0.904788303035459"
"25160","435","0.9108839547479023"
"27826","426","0.7816542093783607"
"35456","420","0.9496995429801207"
"12684","408","0.9250462905502651"
"35084","386","0.8935486447162116"
"27875","377","0.8436640321979002"
"29030","352","0.8393810949829487"
"24262","342","0.9036920602821501"
"22339","334","0.8033491494111672"
"14614","328","0.9311738929678657"
"18566","312","0.8016294221245263"
"12580","277","0.8392828040288248"
"13229","275","0.8797096034376605"
"28458","259","0.9184680790260324"
"23997","254","0.9079112124151533"
"35737","253","0.922965859957214"
"26037","248","0.9024714648305289"
"16119","245","0.8671300710201217"
"8835","236","0.8217706452027668"
"8074","226","0.8450994237424628"
"7649","226","0.8589919993269948"
"20900","213","0.8469501621609024"
"27560","209","0.8837767647444283"
"34040","202","0.887888538018226"
"15277","195","0.9163140703322664"
"9506","187","0.9318624037524882"
"17836","175","0.9394517070053122"
"25614","168","0.7795048618911711"
"11212","164","0.9462690935285353"
"830","158","0.9411651347530685"
"22647","153","0.9390936554832243"
"19102","153","0.9126507585865234"
"3195","147","0.969104770822555"
"2255","142","0.8510883583002955"
"5472","141","0.951588922019223"
"12920","140","0.9573299423370782"
"11225","140","0.9118031901779116"
"36151","135","0.9164890863903576"
"5044","128","0.9014106964016604"
"22086","126","0.9209316989753018"
"11985","125","0.9390968513627497"
"34921","118","0.8856835697768412"
"14472","117","0.9383592967134288"
"6468","115","0.9038614510365396"
"26576","115","0.9384097429388791"
"17867","113","0.9209441938709724"
"20754","109","0.9317140372710547"
"4202","108","0.9675929928871236"
"4700","106","0.9071692300340543"
"24931","104","0.9565945500716438"
"16796","96","0.9751994759516188"
"34420","93","0.9728551925225154"
"17677","89","0.9850995856979585"
"27964","88","0.969007392758195"
"22136","76","0.9808309723733315"
"33572","74","0.9218302713525356"
"32550","72","0.9206317606455346"
"10220","69","0.8602908219464888"
"23128","69","0.8665076744274501"
"10383","65","0.97010027444087"
"35815","63","0.9838915588450565"
"3952","60","0.9186067479601226"
"6571","60","0.9569888501769386"
"3887","60","0.9693309002713714"
"33511","59","0.9149313870973217"
"1856","57","0.8541430792689877"
"25140","57","0.9619810407686205"
"4672","56","0.9775789915330932"
"22555","55","0.8674077630504088"
"3460","55","0.9481355959908345"
"7814","55","0.9546921060763767"
"3624","53","0.8338301868962444"
"30168","51","0.9719998323142346"
"12174","51","0.9646053184325358"
"5208","49","0.9598630537937493"
"22943","47","0.843478879775157"
"34604","46","0.8810492641306029"
"12836","45","0.9340254414930408"
"26942","45","0.7239334159987094"
"5016","44","0.9773195144302778"
"18536","44","0.8005563238417437"
"3640","44","0.9722359613677409"
"23096","41","0.983604915445393"
"33506","40","0.9759049807843132"
"4020","40","0.9564095952386173"
"7205","40","0.8349903528926352"
"33247","38","0.9442557715382606"
"33604","38","0.9631604567514744"
"24951","37","0.9273805396267976"
"11107","36","0.9593641715596085"
"6098","36","0.9725314837664975"
"3340","36","0.9818132374097953"
"25684","35","0.9150137147116443"
"10819","35","0.829353444073184"
"23087","35","0.8995316263187448"
"7869","34","0.9531802927185444"
"4338","33","0.9805835198706151"
"17227","32","0.9901751584380992"
"13899","31","0.8008726121072095"
"19329","31","0.8862877622503775"
"19799","29","0.9514223044994159"
"30225","28","0.9701913612609475"
"2322","28","0.9341345431947741"
"21204","27","0.9135588305675766"
"6522","27","0.9370843550078704"
"16215","24","0.9095998287311575"
"36532","24","0.9698218882874676"
"35811","23","0.9136180516080169"
"9680","23","0.9891112975897547"
"8876","21","0.9811176993445542"
"11953","21","0.9617877304722369"
"13600","20","0.9395573694922678"
"11308","20","0.9789390214229069"
"26194","19","0.9641282175753582"
"24954","18","0.9695703373446056"
"25340","16","0.9544394826736582"
"27114","16","0.8693811263053288"
"31101","15","0.9553601095021746"
"15814","14","0.9263875291230091"
"8376","14","0.7713990707977231"
"11637","12","0.9475360987543535"
"2760","11","0.9945412598347779"
"2728","3","0.9909028776503315"
