cluster_id,label,max_values,total_len
55,CANAPE - SOFA - DIVAN,1026,1026
68,CANAPE - SOFA - DIVAN,655,655
124,CANAPE - SOFA - DIVAN,1019,1019
132,CANAPE - SOFA - DIVAN,840,840
237,CLIC-CLAC - BANQUETTE CLIC-CLAC,357,360
308,ENSEMBLE CANAPES,142,143
365,MERIDIENNE,110,110
431,CANAPE - SOFA - DIVAN,602,602
522,CANAPE - SOFA - DIVAN,548,548
584,BZ - BANQUETTE BZ,44,44
688,CANAPE - SOFA - DIVAN,4,4
848,BANQUETTE,114,115
3320,CANAPE - SOFA - DIVAN,11,11
3965,CANAPE - SOFA - DIVAN,7,7
7122,CANAPE - SOFA - DIVAN,5,5
11577,CANAPE - SOFA - DIVAN,5,5
14106,MERIDIENNE,5,5
17119,CANAPE - SOFA - DIVAN,5,5
24999,CANAPE - SOFA - DIVAN,4,4
