cluster_id,label,max_values,total_len,top_words_count_method,top_words_tfidf_method
13,CANAPE - SOFA - DIVAN,1497,1497,canapé | cm | places | lit | convertible,
79,CANAPE - SOFA - DIVAN,1087,1087,canapé | angle | convertible | places | tissu,angle
92,CANAPE - SOFA - DIVAN,569,569,canapé | convertible | express | cm | matelas,express | ouverture | matelas
174,CANAPE - SOFA - DIVAN,342,342,canapé | places | relax | cuir | gris,relax | cuir | électrique
194,ENSEMBLE CANAPES,156,157,places | canapé | cm | ensemble | cuir,ensemble | canapés | fauteuil
208,CANAPE - SOFA - DIVAN,10,10,canapé | club | places | marron | cuir,club | marron | authentique | anglais | camel
242,CLIC-CLAC - BANQUETTE CLIC-CLAC,359,361,cm | canapé | clic | clac | lit,clic | clac
8508,CANAPE - SOFA - DIVAN,439,439,canapé | places | velours | angle | convertible,côtelé
342,CANAPE - SOFA - DIVAN,749,749,méridienne | cm | pieds | velours | kg,méridienne | meridienne
914,MERIDIENNE,117,117,banquette | cm | velours | rangement | pieds,banquette | banc
3692,BANQUETTE,118,119,canapé | coussins | housse | confort | noelia,noelia | housse | 240x145 | coussins | retirée
4861,CANAPE - SOFA - DIVAN,4,4,bz | cm | banquette | matelas | tissu,bz | banquette | france
5439,BZ - BANQUETTE BZ,45,45,canapé | places | velours | chesterfield | cm,chesterfield
11104,CANAPE - SOFA - DIVAN,6,6,rotin | canapé | coussins | très | grâce,rotin | lavables | associe | housses | vidaxl
12366,CANAPE - SOFA - DIVAN,6,6,lit | canapé | pendant | espace | nuit,pendant | lit | espace | offrant | journée
21257,MERIDIENNE,6,6,cm | poids | kg | net | pieds,meridienne | poids | 97073 | 373072 | 259x155x74
22905,CANAPE - SOFA - DIVAN,4,4,cm | 220 | 15 | épaisseur | convertible,220 | 84 | 69 | 15 | lexlife
33517,CANAPE - SOFA - DIVAN,4,4,canapé | forme | confort | angle | moderne,forme | invitante | accueilir | norrea | fournit
36301,CANAPE - SOFA - DIVAN,4,4,ranna | canapé | design | cuir | blanc,ranna | jouez | contraste | incomparable | lumière
51152,CANAPE - SOFA - DIVAN,4,4,convertible | style | coffre | angle | canapé,rouille | style | brooke | coffre | fonction
